experience_years,test_score,interview_score,communication,performance_score,hire_decision,degree,city,application_source,hobby,preferred_language
5.0,59,7,1,47,Reject,MCA,Mumbai,Campus,Gaming,English
8.64,81,10,2,69,Hold,M.Tech,Kolkata,Campus,Reading,Spanish
0.0,76,6,4,55,Hold,BCA,Bangalore,Indeed,Sports,French
3.63,69,2,2,36,Reject,BCA,Delhi,Referral,Reading,French
1.76,62,7,10,63,Hold,MCA,Pune,Referral,Reading,Hindi
1.11,63,9,3,58,Hold,M.Tech,Kolkata,LinkedIn,Sports,English
2.24,78,9,1,58,Hold,B.Tech,Delhi,Indeed,Music,Hindi
4.15,41,3,6,50,Hold,M.Tech,Hyderabad,Website,Sports,Hindi
4.76,46,3,9,43,Reject,MBA,Pune,LinkedIn,Reading,French
6.47,42,3,1,21,Reject,MBA,Pune,Website,Gaming,Spanish
5.03,71,10,7,75,Hire,B.Tech,Pune,Indeed,Gaming,English
8.22,78,10,5,65,Hold,MCA,Bangalore,LinkedIn,Reading,English
2.45,90,9,6,77,Hire,B.Tech,Delhi,Website,Photography,French
10.54,47,7,2,41,Reject,MCA,Bangalore,Indeed,Music,German
0.33,23,6,2,24,Reject,B.Tech,Bangalore,Referral,Music,French
8.05,51,8,10,55,Hold,BCA,Mumbai,Website,Gaming,French
5.01,30,1,3,37,Reject,MBA,Delhi,Indeed,Travel,English
6.7,73,1,4,35,Reject,BCA,Delhi,Website,Photography,Hindi
1.68,63,10,2,53,Hold,MCA,Hyderabad,Indeed,Travel,Hindi
2.38,44,10,4,41,Reject,MCA,Mumbai,Campus,Music,English
9.61,42,4,1,37,Reject,B.Sc,Delhi,LinkedIn,Gaming,Spanish
11.62,35,9,6,57,Hold,B.Tech,Mumbai,Campus,Reading,Spanish
3.76,95,8,4,65,Hold,B.Tech,Kolkata,Referral,Music,English
8.31,87,5,9,76,Hire,B.Sc,Mumbai,Campus,Travel,French
10.52,43,3,6,53,Hold,B.Tech,Chennai,LinkedIn,Travel,Hindi
10.74,74,6,2,53,Hold,BCA,Kolkata,Indeed,Gaming,Hindi
1.02,78,2,4,51,Hold,B.Sc,Hyderabad,Referral,Sports,French
0.47,86,1,5,55,Hold,B.Tech,Bangalore,Referral,Travel,French
2.04,35,6,5,49,Reject,MBA,Hyderabad,LinkedIn,Reading,French
10.54,46,5,10,57,Hold,B.Tech,Bangalore,Campus,Sports,German
1.18,44,9,3,48,Reject,M.Tech,Bangalore,Referral,Sports,French
5.05,25,3,3,33,Reject,MCA,Kolkata,Indeed,Travel,Hindi
11.49,46,7,2,54,Hold,M.Tech,Delhi,Campus,Reading,French
6.4,64,5,10,59,Hold,BCA,Mumbai,Website,Travel,Hindi
8.3,100,2,6,71,Hire,BCA,Mumbai,Indeed,Sports,Spanish
3.79,87,5,3,61,Hold,B.Tech,Mumbai,LinkedIn,Travel,French
8.24,77,9,3,65,Hold,BCA,Delhi,Indeed,Reading,Hindi
10.02,85,5,3,70,Hire,B.Tech,Delhi,LinkedIn,Travel,English
0.22,20,6,6,37,Reject,M.Tech,Kolkata,Campus,Photography,Hindi
9.0,31,4,6,37,Reject,B.Tech,Kolkata,Referral,Sports,Hindi
11.87,53,9,5,67,Hold,B.Tech,Chennai,LinkedIn,Sports,English
8.98,38,3,6,39,Reject,B.Sc,Hyderabad,Website,Travel,Hindi
3.37,80,2,4,47,Reject,MCA,Hyderabad,Campus,Sports,English
9.47,25,8,3,48,Reject,MCA,Bangalore,Referral,Travel,Hindi
1.24,25,10,4,48,Reject,MCA,Pune,Campus,Reading,English
5.37,91,9,7,77,Hire,MBA,Mumbai,Campus,Travel,Hindi
10.9,34,10,9,61,Hold,M.Tech,Kolkata,Campus,Music,German
3.52,100,5,2,65,Hold,BCA,Kolkata,Campus,Photography,French
3.45,45,3,5,37,Reject,B.Tech,Mumbai,Referral,Gaming,Hindi
1.56,74,9,10,73,Hire,B.Sc,Bangalore,Indeed,Travel,English
0.23,38,9,2,48,Reject,MCA,Pune,Referral,Travel,German
8.15,64,2,1,40,Reject,B.Tech,Bangalore,Campus,Music,English
2.54,78,1,1,46,Reject,B.Sc,Hyderabad,Referral,Travel,Hindi
3.19,90,2,3,53,Hold,MCA,Kolkata,Referral,Travel,English
5.9,68,9,9,67,Hold,BCA,Kolkata,Campus,Photography,Hindi
0.64,30,2,10,45,Reject,M.Tech,Bangalore,Referral,Photography,French
6.89,66,2,6,56,Hold,BCA,Kolkata,Referral,Gaming,English
1.76,92,2,8,66,Hold,BCA,Bangalore,Indeed,Gaming,Hindi
7.07,52,7,9,56,Hold,BCA,Kolkata,Campus,Music,Spanish
8.4,48,2,9,50,Hold,M.Tech,Bangalore,LinkedIn,Sports,German
1.23,95,1,9,66,Hold,BCA,Pune,LinkedIn,Travel,Spanish
4.97,23,9,7,31,Reject,BCA,Kolkata,Website,Music,Hindi
8.33,72,8,2,64,Hold,MCA,Bangalore,Indeed,Photography,Spanish
4.97,53,9,4,48,Reject,BCA,Mumbai,Indeed,Reading,French
0.6,75,2,2,42,Reject,M.Tech,Delhi,Referral,Travel,English
6.43,39,4,3,31,Reject,BCA,Hyderabad,Indeed,Music,Hindi
7.97,83,1,8,61,Hold,M.Tech,Chennai,Campus,Music,English
6.18,31,3,5,33,Reject,B.Sc,Bangalore,LinkedIn,Photography,French
11.34,23,6,10,39,Reject,M.Tech,Delhi,Referral,Reading,English
7.04,59,7,7,64,Hold,B.Sc,Kolkata,Website,Gaming,English
10.84,50,8,7,69,Hold,M.Tech,Hyderabad,Referral,Sports,Hindi
1.65,42,3,8,44,Reject,MBA,Pune,LinkedIn,Travel,English
1.67,97,8,4,69,Hold,BCA,Hyderabad,Campus,Sports,German
9.69,82,7,10,76,Hire,MBA,Kolkata,Campus,Gaming,German
4.77,84,6,1,57,Hold,MBA,Mumbai,Referral,Gaming,Hindi
1.98,76,1,3,40,Reject,B.Sc,Hyderabad,Campus,Music,German
11.13,91,6,8,78,Hire,BCA,Bangalore,Referral,Photography,English
4.17,55,4,9,60,Hold,BCA,Pune,Indeed,Music,English
9.01,72,6,7,63,Hold,MBA,Chennai,Referral,Reading,Spanish
8.71,66,5,2,48,Reject,B.Tech,Bangalore,Campus,Reading,Hindi
10.6,28,8,8,53,Hold,MCA,Bangalore,Indeed,Photography,German
7.48,100,4,5,68,Hold,B.Sc,Kolkata,LinkedIn,Music,Hindi
9.01,80,5,1,64,Hold,BCA,Bangalore,Website,Gaming,French
4.19,23,10,10,59,Hold,M.Tech,Hyderabad,Referral,Music,French
3.24,42,1,1,34,Reject,M.Tech,Bangalore,Campus,Travel,Spanish
10.75,51,5,1,46,Reject,MCA,Chennai,Referral,Gaming,English
5.14,75,4,10,57,Hold,BCA,Mumbai,Website,Sports,Hindi
11.58,30,5,4,43,Reject,MCA,Chennai,Campus,Reading,Spanish
7.96,98,8,2,65,Hold,MCA,Mumbai,Website,Photography,German
7.46,75,7,8,70,Hire,B.Sc,Pune,Website,Music,German
1.38,38,1,1,20,Reject,MCA,Chennai,Indeed,Music,English
11.39,97,5,7,77,Hire,BCA,Chennai,Campus,Sports,German
5.4,35,5,10,58,Hold,BCA,Pune,LinkedIn,Music,German
6.94,74,9,2,57,Hold,B.Tech,Hyderabad,Indeed,Photography,French
4.9,82,3,5,57,Hold,MCA,Hyderabad,Indeed,Travel,French
2.84,94,9,1,69,Hold,BCA,Mumbai,Website,Photography,English
10.84,70,4,1,47,Reject,B.Tech,Kolkata,Referral,Gaming,Spanish
6.88,97,4,8,60,Hold,MBA,Mumbai,Campus,Photography,Spanish
0.03,75,4,10,62,Hold,MBA,Chennai,Campus,Travel,English
7.41,86,1,3,48,Reject,BCA,Mumbai,Website,Photography,German
3.92,56,8,5,52,Hold,B.Sc,Bangalore,LinkedIn,Photography,English
6.32,82,3,9,68,Hold,MBA,Kolkata,Campus,Gaming,English
10.63,56,9,2,60,Hold,BCA,Bangalore,Indeed,Reading,Hindi
4.29,33,5,3,32,Reject,B.Sc,Hyderabad,LinkedIn,Music,English
10.9,85,2,4,66,Hold,MCA,Hyderabad,Referral,Sports,English
7.48,72,3,6,55,Hold,MCA,Mumbai,Indeed,Music,Hindi
0.19,46,7,5,46,Reject,B.Sc,Hyderabad,Indeed,Photography,German
11.15,92,1,7,56,Hold,B.Tech,Pune,Indeed,Photography,German
8.29,67,4,10,66,Hold,B.Sc,Kolkata,Indeed,Sports,Spanish
11.97,32,10,4,35,Reject,B.Sc,Kolkata,Referral,Reading,French
2.07,73,9,10,73,Hire,MCA,Mumbai,LinkedIn,Photography,Spanish
1.65,62,6,3,40,Reject,BCA,Chennai,Referral,Reading,German
11.19,36,6,2,53,Hold,M.Tech,Delhi,Referral,Travel,Spanish
8.36,68,9,10,74,Hire,MBA,Kolkata,Campus,Photography,English
0.79,40,9,9,59,Hold,B.Sc,Kolkata,Indeed,Photography,Spanish
9.07,27,5,5,33,Reject,MCA,Chennai,Indeed,Gaming,English
9.05,43,6,10,65,Hold,MCA,Delhi,Campus,Gaming,German
11.08,96,5,4,67,Hold,M.Tech,Delhi,Campus,Gaming,English
8.54,57,5,6,43,Reject,M.Tech,Pune,LinkedIn,Photography,French
1.49,35,3,4,30,Reject,B.Sc,Hyderabad,Website,Reading,English
0.24,24,9,5,44,Reject,MBA,Bangalore,Indeed,Travel,English
0.31,35,8,1,24,Reject,B.Tech,Mumbai,Indeed,Photography,Hindi
0.34,28,5,8,37,Reject,MCA,Hyderabad,Website,Reading,Spanish
2.95,68,6,7,57,Hold,MBA,Chennai,Referral,Sports,German
10.32,56,2,4,39,Reject,MCA,Pune,Referral,Sports,English
6.47,86,5,7,74,Hire,B.Tech,Kolkata,Campus,Travel,German
